time,tg
1950-01-16,3.8072193002700807
1950-02-14,5.6627105569839475
1950-03-16,7.476806235313416
1950-04-15,7.908493151664734
1950-05-16,11.186541757583619
1950-06-15,16.475595703125
1950-07-16,16.269019355773924
1950-08-16,16.130841159820555
1950-09-15,13.279849586486817
1950-10-16,9.61913514137268
1950-11-15,5.77281319141388
1950-12-16,1.2972289872169496
1951-01-16,4.225432162284851
1951-02-14,3.7334678101539613
1951-03-16,4.432651429176331
1951-04-15,7.048579845428467
1951-05-16,10.127348127365112
1951-06-15,14.328292865753173
1951-07-16,16.88151918411255
1951-08-16,15.354234962463378
1951-09-15,14.432022943496705
1951-10-16,8.963277444839477
1951-11-15,8.587786512374878
1951-12-16,5.371322464942932
1952-01-16,2.6934870314598083
1952-02-15,3.114882745742798
1952-03-16,6.765122566223145
1952-04-15,9.83465944290161
1952-05-16,13.731502647399902
1952-06-15,15.027316160202027
1952-07-16,17.37459976196289
1952-08-16,16.587503261566162
1952-09-15,11.114903230667114
1952-10-16,8.906370983123779
1952-11-15,3.8818465805053712
1952-12-16,2.4222289872169496
1953-01-16,2.7301096320152283
1953-02-14,3.9366785144805907
1953-03-16,5.268906369209289
1953-04-15,7.767946500778198
1953-05-16,12.706489896774292
1953-06-15,14.326123294830323
1953-07-16,15.80745777130127
1953-08-16,16.534164123535156
1953-09-15,13.956652994155883
1953-10-16,9.937928733825684
1953-11-15,8.145766382217408
1953-12-16,6.751906266212464
1954-01-16,2.6704708695411683
1954-02-14,2.804967768192291
1954-03-16,6.0930353307724
1954-04-15,7.392036542892456
1954-05-16,10.920725717544556
1954-06-15,13.79456979751587
1954-07-16,14.548509511947632
1954-08-16,14.916215915679931
1954-09-15,13.144409732818604
1954-10-16,12.078015861511231
1954-11-15,6.977179741859436
1954-12-16,7.226680483818054
1955-01-16,2.619667692184448
1955-02-14,1.4185892498493196
1955-03-16,3.152438564300537
1955-04-15,9.665379848480224
1955-05-16,10.016329126358032
1955-06-15,14.336916427612305
1955-07-16,17.719002933502196
1955-08-16,18.440922050476075
1955-09-15,14.244606151580811
1955-10-16,9.01511929512024
1955-11-15,6.750419840812683
1955-12-16,5.5054837369918825
1956-01-16,3.2479192924499514
1956-02-15,-0.7771482503414154
1956-03-16,6.258167734146118
1956-04-15,6.988096537590027
1956-05-16,12.25428056716919
1956-06-15,13.42986312866211
1956-07-16,16.263038120269776
1956-08-16,14.120783433914184
1956-09-15,14.471753034591675
1956-10-16,9.430422344207763
1956-11-15,5.690006732940674
1956-12-16,5.426896605491638
1957-01-16,5.364154601097107
1957-02-14,5.689281949996948
1957-03-16,9.455983600616456
1957-04-15,9.038393201828002
1957-05-16,10.446473932266235
1957-06-15,15.861439561843872
1957-07-16,17.034116115570068
1957-08-16,15.886641502380371
1957-09-15,12.89793978691101
1957-10-16,10.985290107727051
1957-11-15,5.97323320388794
1957-12-16,4.117351491451263
1958-01-16,3.4218741488456725
1958-02-14,5.064935455322265
1958-03-16,3.9568772220611574
1958-04-15,7.4227930498123165
1958-05-16,11.854493265151978
1958-06-15,14.50956335067749
1958-07-16,16.269757671356203
1958-08-16,16.179877166748046
1958-09-15,15.244982891082763
1958-10-16,10.963977031707763
1958-11-15,6.348309926986694
1958-12-16,4.650687017440796
1959-01-16,1.7102935266494752
1959-02-14,3.89593204498291
1959-03-16,7.4102417087554935
1959-04-15,9.84892318725586
1959-05-16,12.686609344482422
1959-06-15,15.565359601974487
1959-07-16,17.880606117248536
1959-08-16,17.758780002593994
1959-09-15,15.199812831878662
1959-10-16,12.274586715698241
1959-11-15,6.768979706764221
1959-12-16,5.952638516426086
1960-01-16,3.3480482935905456
1960-02-15,4.208096556663513
1960-03-16,6.4888999557495115
1960-04-15,8.660556335449218
1960-05-16,12.60372564315796
1960-06-15,16.252439460754395
1960-07-16,15.214315814971924
1960-08-16,14.923086757659911
1960-09-15,13.162349615097046
1960-10-16,10.342683782577515
1960-11-15,7.258133325576782
1960-12-16,3.8668740820884704
1961-01-16,3.655238561630249
1961-02-14,7.0119606590271
1961-03-16,7.8435225009918215
1961-04-15,10.33907639503479
1961-05-16,10.89224151611328
1961-06-15,14.686873178482056
1961-07-16,15.69468674659729
1961-08-16,15.910347967147827
1961-09-15,15.233976497650147
1961-10-16,10.68281270980835
1961-11-15,5.561243233680725
1961-12-16,2.326212885379791
1962-01-16,3.846590230464935
1962-02-14,3.945885565280914
1962-03-16,2.596967649459839
1962-04-15,7.606503229141236
1962-05-16,10.210041790008544
1962-06-15,13.67667649269104
1962-07-16,15.276915855407715
1962-08-16,14.834157552719116
1962-09-15,12.70010636329651
1962-10-16,10.205341739654541
1962-11-15,5.072019801139832
1962-12-16,0.569651608467102
1963-01-16,-3.4491063809394835
1963-02-14,-1.2613571047782899
1963-03-16,5.989209504127502
1963-04-15,8.832516622543334
1963-05-16,10.562970733642578
1963-06-15,14.786693058013917
1963-07-16,15.151986722946168
1963-08-16,14.356177024841308
1963-09-15,12.956519775390625
1963-10-16,10.789909629821777
1963-11-15,7.9753630208969115
1963-12-16,1.8188612568378448
1964-01-16,2.7138515377044676
1964-02-15,4.265931081771851
1964-03-16,4.090787010192871
1964-04-15,8.535719594955445
1964-05-16,13.403483734130859
1964-06-15,13.992783012390136
1964-07-16,16.507122573852538
1964-08-16,16.042202920913695
1964-09-15,14.324909753799439
1964-10-16,8.383648195266723
1964-11-15,7.19604305267334
1964-12-16,2.975787010192871
1965-01-16,3.160445008277893
1965-02-14,2.554474906921387
1965-03-16,5.402815909385681
1965-04-15,8.087826528549193
